,Penman,FAO-56,Priestley-Taylor,Kimberly-Penman,Thom-Oliver,Blaney-Criddle,Hamon,Romanenko,Linacre,Haude,Turc,Jensen-Haise,Mcguinness-Bordne,Hargreaves,FAO-24,Abtew,Makkink,Oudin
2016-05-08,4.018495109574227,4.503975697884327,4.053549112406763,3.553166508602898,4.319604926082938,3.8134549715672126,3.258043458158798,6.372371250000002,4.014264540045423,6.167096894106102,4.45397637161854,4.621798876767187,4.332472272534191,4.418243057213053,4.558282106289377,5.296331685808885,4.081933567735267,2.947260049342987
2016-05-09,4.475401891880792,5.32257447911569,4.341025249122526,3.881307440937849,5.123304873011873,4.470084065393818,4.188400383390129,9.324704222608693,5.3670884356595465,8.766366863574651,5.906328417820965,5.8078977789395765,5.213883078979933,4.7196103925683905,5.403439178212668,5.496760397924957,4.565517275944961,3.546859237401315
2016-05-10,4.533759429014581,5.452897748640754,4.381023647810446,3.9665291003519023,5.03339193476724,4.497992583938967,4.2273244244943875,8.368423199999999,5.1580364554615254,7.913865707893702,5.268519497395495,5.607553806485396,5.25105420882842,4.498885826197081,5.136345416393553,5.3071491382808205,4.408029334148228,3.5721457202914433
2016-05-11,4.050918483695255,4.339281543870077,4.0798929088323765,3.655808323335567,3.772740004919367,3.218504868279343,2.5978261271485734,4.026553440000002,2.409176515434954,4.14448593729214,3.8413791171127274,3.8649547230519126,3.526786723001107,3.7924672232751,4.343394063128722,5.69007223115976,3.993176112793503,2.3991746414973516
2016-05-12,3.570333683537915,3.5531673070103285,3.8862496417220074,3.2881037612830633,3.4121331504548498,3.042967735009185,2.433262482894271,3.66508032,2.441786016081922,2.9507759102119095,3.5656200861295235,3.5016370910653554,3.2870845865691702,3.3091445615321686,3.962242599192061,5.623841388680723,3.8275852229874,2.2361119636524966
2016-05-13,3.139287140018925,3.2075081704813106,3.3372946287385346,2.8628073416909383,3.0276987515689235,3.063237355420143,2.4547867529471996,3.3416908800000003,2.3527917467409476,2.9402250179607137,2.951289749249524,2.850268216409927,3.3087367338593943,3.5168724037683177,3.1131910777614697,4.57770349908261,3.1155840034131246,2.2508413155506086
2016-05-14,0.6676214615276697,0.6844397169606651,0.6743229909708218,0.602415316890094,0.5913402124278616,2.338226912934501,1.8732829893831526,0.6927301499999998,1.1472946842034943,0.4664179048872211,0.5201805011037681,0.348987002150677,2.3340893560124765,1.8113282144922485,0.1636902833498991,0.8504051086890062,0.5086380593957098,1.5878158884438616
2016-05-15,1.0034044958544794,1.1671892923024116,0.8774727559411934,0.873511885618435,0.8953550494074451,2.5376660669558326,2.022607046619771,1.4046123600000007,1.587382326770664,0.9300976536896559,0.6787225015427523,0.48461733482090474,2.592783230767931,2.1891081184398393,0.3675617039178935,1.04835586716359,0.6485564640113065,1.7637981161686604
2016-05-16,0.8272949002414048,0.6118007374043781,0.9579071676972178,0.7991960276863179,0.5494923341383794,2.421168007774539,1.9408396810730775,0.27676800000000024,1.1973676526405344,0.18900991614937407,0.6666905083428571,0.4906250276455928,2.429779614029115,1.9114306120596454,0.3225445860015587,1.155694509565174,0.6977270616944519,1.6529113020606223
2016-05-17,3.2678264228509475,2.9994028819044734,3.7143695102377485,3.0921409347055153,2.85615523355095,2.973869314491706,2.3861687294001492,2.1334233599999997,2.0669113897210702,1.7287646652082909,3.114583406608925,2.9889876685106973,3.1646618927554893,3.1648451111169518,3.1850007498416244,5.193978571510393,3.4418028397811145,2.1528312195615573
2016-05-18,2.400960383969691,2.405498970527953,2.586973023972601,2.2067216566888868,2.27602603232537,3.1098183779683106,2.512023236728025,2.6418636899999997,2.3549023204484776,1.8660073723855977,2.1308140405359035,1.9745789084156,3.341810114878422,2.883547482437245,1.988677808344338,3.245044407628738,2.191192509782072,2.273340214203009
2016-05-19,2.997089366135269,3.118176213806276,3.1864658338925307,2.72032343782541,3.0420427692031837,3.5674172949944003,2.9746166933779166,3.805312500000001,2.8240844480315674,2.987456963269831,2.8660247436363635,2.856194397098913,3.9564129157461703,3.268572829996631,2.755364749459989,3.9065368528062554,2.815908100226805,2.691437357650456
2016-05-20,2.3146230931517593,2.3238185341327346,2.5564919360879075,2.1372812157055963,2.3300938837453087,3.841458307979938,3.2895971337856436,2.4229529999999992,3.1047531293565194,2.0681477829130572,2.188118664518621,2.153726702286031,4.324686303195468,3.5452892105021463,1.6363131126497694,2.685823887556697,2.004039493821111,2.9419634715615426
2016-05-21,3.3030576923965675,3.2301463237098353,3.595782466700153,3.081686388230671,2.9534320222352166,3.674350672146252,3.0957622401205116,3.007842539999999,3.0722550708530147,2.3118015081622403,3.231552247822796,3.2854850862549205,4.091062190449776,3.454216262906836,3.0814512941723233,4.380646781673229,3.187571338955681,2.783035503707331
